place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJCcn3gIqaUE0RZVWMOLQSFd8,Bergen Real Estate,"Wir verkaufen Ihre Immobilie.
Bergen Real Estate - Ihr Immobilienmakler Berlin mit weniger Provision als marktublich: Bei uns zahlen Kaufer und Verkaufer in der Regel nur je 1,9% Provision* (inkl. ges. MwSt.) des Kaufpreises. Provisionsfrei fur Verkaufer sind Grundstucke & Mehrfamilienhauser.
Wir sind spezialisiert auf eine neue zielgruppengerichtete Vermarktung von Immobilien an lokale oder internationale Kunden, auch ohne die Nutzung klassischer Verkaufskanale.
Mit unserer Strategie sind wir schnell, innovativ und vor allem effektiv.

*Maklerprovisionen sind frei verhandelbar und konnen im Einzelfall hiervon abweichen.",1,94,5,"Name: DAHLER Berlin - Immobilienmakler
Link: https://www.google.com/maps/search/DAHLER+Berlin+-+Immobilienmakler/@52.501250199999994,13.3190353?authuser=0&hl=id&entry=ttu
Reviews: 237 reviews

Name: ADEN Immobilien - Immobilienmakler Berlin
Link: https://www.google.com/maps/search/ADEN+Immobilien+-+Immobilienmakler+Berlin/@52.502311899999995,13.3100252?authuser=0&hl=id&entry=ttu
Reviews: 187 reviews

Name: Stonehedge Real Estate GmbH (ehem. Vandenberg Immoconsult GmbH)
Link: https://www.google.com/maps/search/Stonehedge+Real+Estate+GmbH+(ehem.+Vandenberg+Immoconsult+GmbH)/@52.498093,13.295116199999999?authuser=0&hl=id&entry=ttu
Reviews: 47 reviews

Name: Be Part of Berlin
Link: https://www.google.com/maps/search/Be+Part+of+Berlin/@52.4999549,13.3107686?authuser=0&hl=id&entry=ttu
Reviews: 21 reviews

Name: Konig Real Estate GmbH
Link: https://www.google.com/maps/search/K%C3%B6nig+Real+Estate+GmbH/@52.5062366,13.3120914?authuser=0&hl=id&entry=ttu
Reviews: 9 reviews",https://www.bergen-realestate.com/,+49 30 84319777,,Bergen Real Estate (Pemilik),https://www.google.com/maps/contrib/103718771429498284894,https://lh3.ggpht.com/p/AF1QipM3TnZN-8ngXUhBMpSTi-HXpaDX-LgRGMGf5bGk=s1024,Agen real estat,Agen real estat,,,Open All Days,"Meinekestrasse 8, 10719 Berlin, Jerman","profesional, tim, apartemen, nasihat, asisten toko, harga, pasar real estat, proses penjualan, inovasi, penyebab tindakan",https://www.google.com/maps/place/Bergen+Real+Estate/data=!4m7!3m6!1s0x4d509a8a80f7c909:0xdf1512b4388c5565!8m2!3d52.501178!4d13.328124!16s%2Fg%2F11tsd9tc07!19sChIJCcn3gIqaUE0RZVWMOLQSFd8?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJaVgkuv1QqEcRVIugwpSRvBM,BSK Immobilien GmbH,"Als 100-prozentige Tochter der Berliner Sparkasse vereint die BSK Immobilien echte Berliner Tradition mit der rasanten Entwicklung einer der spannendsten Metropolen der Welt.
Egal ob Sie eine Immobilie suchen oder verkaufen mochten, finanzieren oder gewerblich nutzen wollen - wir sind die Partner an Ihrer Seite.

Wir bieten Ihnen die umfassenden, individuellen Losungen im Bereich Immobiliengeschaft und Banking, die Sie benotigen: Erfahrung, Kompetenz, Rechtssicherheit, Verlasslichkeit und Flexibilitat - egal, wann und wo Sie uns brauchen.",1,891,5,"Name: D.K. Real Estate GmbH Immobilienvermittlung
Link: https://www.google.com/maps/search/D.K.+Real+Estate+GmbH+Immobilienvermittlung/@52.482362699999996,13.2814541?authuser=0&hl=id&entry=ttu
Reviews: 277 reviews

Name: Berlin First -Immobilienmakler
Link: https://www.google.com/maps/search/Berlin+First+-Immobilienmakler/@52.4889243,13.338979100000001?authuser=0&hl=id&entry=ttu
Reviews: 262 reviews

Name: DAHLER Berlin - Immobilienmakler
Link: https://www.google.com/maps/search/DAHLER+Berlin+-+Immobilienmakler/@52.501250199999994,13.3190353?authuser=0&hl=id&entry=ttu
Reviews: 237 reviews

Name: Agas Immobilien GmbH
Link: https://www.google.com/maps/search/Agas+Immobilien+GmbH/@52.5305885,13.3971702?authuser=0&hl=id&entry=ttu
Reviews: 177 reviews

Name: Berliner Sparkasse - Real Estate Center
Link: https://www.google.com/maps/search/Berliner+Sparkasse+-+Real+Estate+Center/@52.5066711,13.327667799999999?authuser=0&hl=id&entry=ttu
Reviews: 2 reviews",http://www.bsk-immobilien.de/,+49 30 86984760,,BSK Immobilien GmbH (Pemilik),https://www.google.com/maps/contrib/117769858491006120208,https://lh3.ggpht.com/p/AF1QipOHxj81E2Z5iWVah6ef7B_ZEPRbNCUE8P1i4AZU=s1024,Agen real estat,"Agen real estat, Konsultan Realestat, Agensi Persewaan Properti",09.00-18.00,,"Kamis, Sabtu, Minggu","Fasanenstrasse 7- 8, 10623 Berlin, Jerman","peduli, proposal penelitian, kompeten, kondominium, proses, responsif, bank tabungan, objek, milik, notaris",https://www.google.com/maps/place/BSK+Immobilien+GmbH/data=!4m7!3m6!1s0x47a850fdba245869:0x13bc9194c2a08b54!8m2!3d52.506562!4d13.327631!16s%2Fg%2F11dxkvt505!19sChIJaVgkuv1QqEcRVIugwpSRvBM?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJqXAY2FVXqEcRmmx_asOEBb0,Mein Makler Berlin-Spandau,"Fur uns ist es besonders schon, dass sie diese Begeisterung fur die Immobilie als Bauwerk nun mit der Arbeit mit Menschen verknupfen konnen. Bei Mein Makler Berlin-Spandau setzen sie sich mit viel Herzblut dafur ein, die richtige Immobilie fur jede Familie oder jeden Menschen zu finden. Durch das fachliche Hintergrundwissen unterstutzen sie auch optimal bei Wertermittlung und Verkauf. Wir freuen uns auf Sie und Sie kennenzulernen.",,148,5,"Name: DAHLER Berlin - Immobilienmakler
Link: https://www.google.com/maps/search/DAHLER+Berlin+-+Immobilienmakler/@52.501250199999994,13.3190353?authuser=0&hl=id&entry=ttu
Reviews: 237 reviews

Name: Melde Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Melde+Immobilien+-+Immobilienmakler+Spandau/@52.5386641,13.157407500000001?authuser=0&hl=id&entry=ttu
Reviews: 62 reviews

Name: OF POLL IMMOBILIEN Berlin-Spandau
Link: https://www.google.com/maps/search/OF+POLL+IMMOBILIEN+Berlin-Spandau/@52.511668699999994,13.182501799999999?authuser=0&hl=id&entry=ttu
Reviews: 27 reviews

Name: immoeinfach.de Service GmbH
Link: https://www.google.com/maps/search/immoeinfach.de+Service+GmbH/@52.528302599999996,13.2330177?authuser=0&hl=id&entry=ttu
Reviews: 23 reviews

Name: Donicke Immobilien GmbH
Link: https://www.google.com/maps/search/D%C3%B6nicke+Immobilien+GmbH/@52.5273445,13.185612899999999?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",https://www.mein-makler.com/immobilienmakler-in-berlin-spandau/,+49 30 403640900,,Mein Makler Berlin-Spandau (Pemilik),https://www.google.com/maps/contrib/110641545407213627323,https://lh3.ggpht.com/p/AF1QipPY5W4wTm_7TynJ-MmtRCl44sro4VJ-hJ0KtWoc=s1024,Agen real estat,"Agen real estat, Agen Properti",07.00-22.00,,Open All Days,"Galenstrasse 2, 13597 Berlin, Jerman","profesional, tim, nasihat, apartemen, kepuasan, tenaga kerja, keinginan, sabar, peduli, wanita",https://www.google.com/maps/place/Mein+Makler+Berlin-Spandau/data=!4m7!3m6!1s0x47a85755d81870a9:0xbd0584c36a7f6c9a!8m2!3d52.5357624!4d13.1957467!16s%2Fg%2F11p07y6th4!19sChIJqXAY2FVXqEcRmmx_asOEBb0?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJfczJaZRXqEcRW7gT6WbMmEs,Hesse Immobilien - Immobilienmakler Spandau,Mit Hesse Immobilien uberwinden Sie die Stolpersteine des Immobilienmarktes. Vermeiden Sie teure Fehler und setzen Sie auf den Profis fur Immobilien.,,91,4.9,"Name: Mein Makler Berlin-Spandau
Link: https://www.google.com/maps/search/Mein+Makler+Berlin-Spandau/@52.535762399999996,13.195746699999999?authuser=0&hl=id&entry=ttu
Reviews: 147 reviews

Name: Melde Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Melde+Immobilien+-+Immobilienmakler+Spandau/@52.5386641,13.157407500000001?authuser=0&hl=id&entry=ttu
Reviews: 62 reviews

Name: OF POLL IMMOBILIEN Berlin-Spandau
Link: https://www.google.com/maps/search/OF+POLL+IMMOBILIEN+Berlin-Spandau/@52.511668699999994,13.182501799999999?authuser=0&hl=id&entry=ttu
Reviews: 27 reviews

Name: Hesse Immobilien
Link: https://www.google.com/maps/search/Hesse+Immobilien/@52.559187099999995,13.199551999999999?authuser=0&hl=id&entry=ttu
Reviews: 14 reviews

Name: Beschke Immobilien
Link: https://www.google.com/maps/search/Beschke+Immobilien/@52.5272432,13.2105122?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",http://www.immobilienmakler-spandau.de/?utm_source=gmb&utm_medium=referral,+49 30 3360050,,Hesse Immobilien - Immobilienmakler Spandau (Pemilik),https://www.google.com/maps/contrib/101321571851917477318,https://lh3.ggpht.com/p/AF1QipMgYZOHtvnX1bA2NJf-FxqmVHToZqH8Fr8qOtFs=s1024,Agen real estat,"Agen real estat, Agen Properti, Konsultan Realestat, Agensi Persewaan Properti",10.00-16.00,,"Sabtu, Minggu","Havelstrasse 14, 13597 Berlin, Jerman","nasihat, apartemen, tim, jual, keinginan, profesional, peduli, kepuasan, pengalaman, pahit",https://www.google.com/maps/place/Hesse+Immobilien+-+Immobilienmakler+Spandau/data=!4m7!3m6!1s0x47a8579469c9cc7d:0x4b98cc66e913b85b!8m2!3d52.5391816!4d13.2057201!16s%2Fg%2F11fl88pbx8!19sChIJfczJaZRXqEcRW7gT6WbMmEs?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJgfEs04T4qEcRVBvSEkojsXs,Melde Immobilien - Immobilienmakler Spandau,Das Team von Melde Immobilien steht fur eine fachkundige und engagierte Vermittlungsarbeit. Seit 2010 fuhrt das Immobilienunternehmen Verkaufer und Kaufer erfolgreich zusammen.,,62,4.9,"Name: Mein Makler Berlin-Spandau
Link: https://www.google.com/maps/search/Mein+Makler+Berlin-Spandau/@52.535762399999996,13.195746699999999?authuser=0&hl=id&entry=ttu
Reviews: 147 reviews

Name: Hesse Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Hesse+Immobilien+-+Immobilienmakler+Spandau/@52.5391816,13.205720099999999?authuser=0&hl=id&entry=ttu
Reviews: 91 reviews

Name: OF POLL IMMOBILIEN Berlin-Spandau
Link: https://www.google.com/maps/search/OF+POLL+IMMOBILIEN+Berlin-Spandau/@52.511668699999994,13.182501799999999?authuser=0&hl=id&entry=ttu
Reviews: 27 reviews

Name: Top-Immobilien GmbH
Link: https://www.google.com/maps/search/Top-Immobilien+GmbH/@52.5157804,13.167382199999999?authuser=0&hl=id&entry=ttu
Reviews: 10 reviews

Name: Engel & Volkers Berlin Spandau | Immobilienmakler
Link: https://www.google.com/maps/search/Engel+%26+V%C3%B6lkers+Berlin+Spandau+%7C+Immobilienmakler/@52.512208799999996,13.1827828?authuser=0&hl=id&entry=ttu
Reviews: 8 reviews",https://www.melde-immobilien.de/,+49 30 95626644,,Melde Immobilien - Immobilienmakler Spandau (Pemilik),https://www.google.com/maps/contrib/102194141306922176499,https://lh3.ggpht.com/p/AF1QipNrP8-B3eQgblrNqYFj9JV2AS5VNtcs_0qXyKxF=s1024,Agen real estat,Agen real estat,10.00-18.00,,Minggu,"Klosterbuschweg 14, 13591 Berlin, Jerman","jual, profesional, kepuasan, nasihat, apartemen, rumah keluarga tunggal, peduli, perumahan banyak keluarga, keahlian, likuidasi",https://www.google.com/maps/place/Melde+Immobilien+-+Immobilienmakler+Spandau/data=!4m7!3m6!1s0x47a8f884d32cf181:0x7bb1234a12d21b54!8m2!3d52.5386641!4d13.1574075!16s%2Fg%2F11b67njmsw!19sChIJgfEs04T4qEcRVBvSEkojsXs?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJq48XqsdXqEcRG5vT-6jTf2I,OF POLL IMMOBILIEN Berlin-Spandau,VON POLL IMMOBILIEN ist eines der grossten Maklerhauser Europas. Mit einem Netzwerk aus uber 1.500 Immobilienprofis und mehr als 400 Shops pflegen wir ausgezeichnete Kontakte zu kaufkraftigen Interessentenkreisen. Unsere Auftraggeber sind Eigentumer wertbestandiger Immobilien in begehrten Wohn- und Geschaftslagen. VON POLL IMMOBILIEN Berlin-Spandau - Fur Sie in den besten Lagen.,,27,5,"Name: Mein Makler Berlin-Spandau
Link: https://www.google.com/maps/search/Mein+Makler+Berlin-Spandau/@52.535762399999996,13.195746699999999?authuser=0&hl=id&entry=ttu
Reviews: 147 reviews

Name: Melde Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Melde+Immobilien+-+Immobilienmakler+Spandau/@52.5386641,13.157407500000001?authuser=0&hl=id&entry=ttu
Reviews: 62 reviews

Name: Top-Immobilien GmbH
Link: https://www.google.com/maps/search/Top-Immobilien+GmbH/@52.5157804,13.167382199999999?authuser=0&hl=id&entry=ttu
Reviews: 10 reviews

Name: Engel & Volkers Berlin Spandau | Immobilienmakler
Link: https://www.google.com/maps/search/Engel+%26+V%C3%B6lkers+Berlin+Spandau+%7C+Immobilienmakler/@52.512208799999996,13.1827828?authuser=0&hl=id&entry=ttu
Reviews: 8 reviews

Name: Julian Voll Immobilien
Link: https://www.google.com/maps/search/Julian+Voll+Immobilien/@52.5230627,13.199739399999999?authuser=0&hl=id&entry=ttu
Reviews: 7 reviews",https://www.von-poll.com/de/immobilienmakler/berlin-spandau?utm_source=Google&utm_medium=GMB&y_source=1_MTY1NjExNDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+49 30 365093050,,OF POLL IMMOBILIEN Berlin-Spandau (Pemilik),https://www.google.com/maps/contrib/109321010294733153793,https://lh3.ggpht.com/p/AF1QipMBRrqprWXrTUzn0Jgu5205ZBZn23MYQQozX_xq=s1024,Agen real estat,"Agen real estat, Penilai Properti, Perusahaan investasi properti, Agen Properti, Konsultan Realestat, Agensi Persewaan Properti",10.00-18.00,,"Sabtu, Minggu","Gatower Str. 95, 13595 Berlin, Jerman","rumah, tim, jual, profesional, kepuasan, menasihati, wanita, fotografi, tenaga kerja, empati",https://www.google.com/maps/place/OF+POLL+IMMOBILIEN+Berlin-Spandau/data=!4m7!3m6!1s0x47a857c7aa178fab:0x627fd3a8fbd39b1b!8m2!3d52.5116687!4d13.1825018!16s%2Fg%2F1hf0s7kp8!19sChIJq48XqsdXqEcRG5vT-6jTf2I?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJDRs9dtpXqEcRE7z6USZGW9k,Top-Immobilien GmbH,"Top-Immobilien, Ihr Immobilienmakler aus Berlin mit Buros in Strausberg und Kloster Lehnin. Wir sind in allen Bezirken Berlins, in Potsdam und Brandenburg sowie in weiten Teilen von HVL, PM, TF, MOL, LOS, LDS, BAR und OHV tatig.
Uber 30 Jahre Erfahrung - das ist eine sehr lange Zeit und sie spricht fur sich. Bisher haben wir deutlich mehr als 2.500 Immobilien verkauft und konnen Hunderte erstklassige Referenzen vorweisen. Bei uns lauft ein Verkauf vollig entspannt ab und eine realistische Wertermittlung gibt es fur Verkaufer gratis dazu. Sehr gerne sind wir auch Ihr Immobilienmakler.

Immobilienverkauf mit Herz und Verstand - das ist die Firma Top-Immobilien.",,10,4.9,"Name: Mein Makler Berlin-Spandau
Link: https://www.google.com/maps/search/Mein+Makler+Berlin-Spandau/@52.535762399999996,13.195746699999999?authuser=0&hl=id&entry=ttu
Reviews: 147 reviews

Name: KENSINGTON Immobilien Berlin City-West & Havelland
Link: https://www.google.com/maps/search/KENSINGTON+Immobilien+Berlin+City-West+%26+Havelland/@52.5534512,13.1515487?authuser=0&hl=id&entry=ttu
Reviews: 92 reviews

Name: Melde Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Melde+Immobilien+-+Immobilienmakler+Spandau/@52.5386641,13.157407500000001?authuser=0&hl=id&entry=ttu
Reviews: 62 reviews

Name: OF POLL IMMOBILIEN Berlin-Spandau
Link: https://www.google.com/maps/search/OF+POLL+IMMOBILIEN+Berlin-Spandau/@52.511668699999994,13.182501799999999?authuser=0&hl=id&entry=ttu
Reviews: 27 reviews

Name: Engel & Volkers Berlin Spandau | Immobilienmakler
Link: https://www.google.com/maps/search/Engel+%26+V%C3%B6lkers+Berlin+Spandau+%7C+Immobilienmakler/@52.512208799999996,13.1827828?authuser=0&hl=id&entry=ttu
Reviews: 8 reviews",http://www.top-immobilien.de/,+49 30 28830999,,Top-Immobilien GmbH (Pemilik),https://www.google.com/maps/contrib/112083881632954094214,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_oYfjeuAT21dsB-o88olXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.9215&pitch=0&thumbfov=100,Agen real estat,"Agen real estat, Agen Properti, Konsultan Realestat, Agensi Persewaan Properti",06.00-22.00,,Open All Days,"Sandstrasse 32, 13593 Berlin, Jerman",,https://www.google.com/maps/place/Top-Immobilien+GmbH/data=!4m7!3m6!1s0x47a857da763d1b0d:0xd95b462651fabc13!8m2!3d52.5157804!4d13.1673822!16s%2Fg%2F1tgqhg0m!19sChIJDRs9dtpXqEcRE7z6USZGW9k?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJ01YjssdXqEcRBXKbaMD3yn8,Engel & Volkers Berlin Spandau | Immobilienmakler,"Sie interessieren sich fur das Wohnen im Grunen in einem der altesten Bezirke Berlins? Inmitten des historischen Spandaus sind wir Ihr Partner bei der Suche nach dem perfekten Zuhause oder der nachsten Investition. Parks, Wasserstrassen, nahegelegene Waldgebiete und eine reizvolle Altstadt mit lebhaften Cafes - in Spandau erwartet Sie eine harmonische Fusion aus Tradition und Moderne. Unser engagiertes Team verbindet lokale Kenntnisse mit globaler Expertise, um Ihnen einen massgeschneiderten Service zu bieten, der uber den reinen Immobilienkauf hinausgeht. Lassen Sie uns gemeinsam die Turen zu Ihrem neuen Zuhause offnen und die Schonheit von Spandau erkunden - wir freuen uns darauf, Ihre Immobilientraume Wirklichkeit werden zu lassen!",,8,5,"Name: Melde Immobilien - Immobilienmakler Spandau
Link: https://www.google.com/maps/search/Melde+Immobilien+-+Immobilienmakler+Spandau/@52.5386641,13.157407500000001?authuser=0&hl=id&entry=ttu
Reviews: 62 reviews

Name: OF POLL IMMOBILIEN Berlin-Spandau
Link: https://www.google.com/maps/search/OF+POLL+IMMOBILIEN+Berlin-Spandau/@52.511668699999994,13.182501799999999?authuser=0&hl=id&entry=ttu
Reviews: 27 reviews

Name: Engel & Volkers Berlin Wilmersdorf | Immobilienmakler
Link: https://www.google.com/maps/search/Engel+%26+V%C3%B6lkers+Berlin+Wilmersdorf+%7C+Immobilienmakler/@52.4916462,13.323924100000001?authuser=0&hl=id&entry=ttu
Reviews: 21 reviews

Name: Top-Immobilien GmbH
Link: https://www.google.com/maps/search/Top-Immobilien+GmbH/@52.5157804,13.167382199999999?authuser=0&hl=id&entry=ttu
Reviews: 10 reviews

Name: Volker Immobilien
Link: https://www.google.com/maps/search/V%C3%B6lker+Immobilien/@52.5123104,13.2729757?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",https://www.engelvoelkersberlin.com/engelvoelkers-spandau-shop/,+49 30 28471000,,Engel & Volkers Berlin Spandau | Immobilienmakler (Pemilik),https://www.google.com/maps/contrib/103881885661991824791,https://lh3.ggpht.com/p/AF1QipN0YIo_znbCRdzOdJinE9RaXZV-yV4HT9I40et4=s1024,Agen real estat,"Agen real estat, Agen Properti, Konsultan Realestat, Agensi Persewaan Properti",09.00-18.00,,Minggu,"Gatower Str. 91, 13595 Berlin, Jerman",nasihat,https://www.google.com/maps/place/Engel+%26+V%C3%B6lkers+Berlin+Spandau+%7C+Immobilienmakler/data=!4m7!3m6!1s0x47a857c7b22356d3:0x7fcaf7c0689b7205!8m2!3d52.5122088!4d13.1827828!16s%2Fg%2F1thmdfdl!19sChIJ01YjssdXqEcRBXKbaMD3yn8?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJiUYPyntYqEcRvEVEMuy0LxE,Neumann Immobilien,"Neumann Immobilien als familiengefuhrtes Unternehmen legt viel Wert auf Seriositat, Diskretion und Nachhaltigkeit. Inhaberin Barbara Neumann und Ehemann Bernhard Neumann sind seit mehr als 30 Jahren im Vertrieb tatig.

Schwerpunkt der Tatigkeiten von Neumann Immobilien ist der Berliner Sudwesten von Charlottenburg, Wilmersdorf uber Spandau bis nach Potsdam mit besonderem Blickpunkt auf Kladow, Gatow und Gross Glienicke.

Wir bieten Ihnen Kundennahe, Marktkenntnisse, intensive Kundenberatung und kostenfreie Marktwerteinschatzungen Ihrer Immobilie.

Unser Credo: Nur zufriedene Kunden, die uns weiterempfehlen, gewahrleisten einen langfristigen Erfolg im Immobilienvertrieb.",,61,4.8,"Name: Kremser-Immobilien
Link: https://www.google.com/maps/search/Kremser-Immobilien/@52.453598899999996,13.1412306?authuser=0&hl=id&entry=ttu
Reviews: 47 reviews

Name: Carola Naumann Immobilien GmbH
Link: https://www.google.com/maps/search/Carola+Naumann+Immobilien+GmbH/@52.4579345,13.308067300000001?authuser=0&hl=id&entry=ttu
Reviews: 13 reviews

Name: Top-Immobilien GmbH
Link: https://www.google.com/maps/search/Top-Immobilien+GmbH/@52.5157804,13.167382199999999?authuser=0&hl=id&entry=ttu
Reviews: 10 reviews

Name: Berlin Immobilien Spezialist Neumann GmbH
Link: https://www.google.com/maps/search/Berlin+Immobilien+Spezialist+Neumann+GmbH/@52.4465054,13.3427628?authuser=0&hl=id&entry=ttu
Reviews: 4 reviews

Name: HINZ-Immobilien
Link: https://www.google.com/maps/search/HINZ-Immobilien/@52.4564166,13.1451441?authuser=0&hl=id&entry=ttu
Reviews: No Reviews reviews",http://www.neumann-immobilien-berlin.de/,+49 1523 1066173,,Neumann Immobilien (Pemilik),https://www.google.com/maps/contrib/109454496160571056623,https://lh3.ggpht.com/p/AF1QipN3ZEjQKo9tlFD7d7SOkcg64WTINX1wkYsAtRsV=s1024,Agen real estat,"Agen real estat, Agen Properti",,,Open All Days,"Kindlebenstrasse 27, 14089 Berlin, Jerman","apartemen, profesional, jual, kepuasan, nasihat, komunikasi, peduli, penyewa, penyerahan, milik",https://www.google.com/maps/place/Neumann+Immobilien/data=!4m7!3m6!1s0x47a8587bca0f4689:0x112fb4ec324445bc!8m2!3d52.4512565!4d13.1354819!16s%2Fg%2F11c6041gnd!19sChIJiUYPyntYqEcRvEVEMuy0LxE?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
ChIJD6Utf7b5qEcRecj1yqutFdM,KENSINGTON Immobilien Berlin City-West & Havelland,"KENSINGTON Finest Properties International - Berlin City-West & Havelland ist ein international tatiges Immobilienunternehmen mit Fokus auf die Vermittlung von Immobilien. Hier steht stets der Kunde im Vordergrund, also Sie. Personliche und individuelle Beratung sowie diskretes Handeln bilden die Grundlage eines vertrauensvollen Zusammenkommens.
Bei KENSINGTON konnen Sie von einem internationalen und breit gefacherten Netzwerk an Spezialisten und Kooperationspartnern profitieren. Der Erfolg und die Zufriedenheit unserer Kunden stehen fur uns immer im Vordergrund.
Lassen Sie sich kostenlos und unverbindlich beraten!",,93,5,"Name: KENSINGTON Immobilien Berlin - Mitte
Link: https://www.google.com/maps/search/KENSINGTON+Immobilien+Berlin+-+Mitte/@52.508189699999996,13.3919652?authuser=0&hl=id&entry=ttu
Reviews: 26 reviews

Name: KENSINGTON Immobilien Potsdam
Link: https://www.google.com/maps/search/KENSINGTON+Immobilien+Potsdam/@52.4007436,13.0557905?authuser=0&hl=id&entry=ttu
Reviews: 16 reviews

Name: KENSINGTON Immobilien Berlin - Reinickendorf
Link: https://www.google.com/maps/search/KENSINGTON+Immobilien+Berlin+-+Reinickendorf/@52.5875863,13.285059799999999?authuser=0&hl=id&entry=ttu
Reviews: 8 reviews

Name: KENSINGTON Immobilien Berlin-Wilmersdorf
Link: https://www.google.com/maps/search/KENSINGTON+Immobilien+Berlin-Wilmersdorf/@52.4884693,13.3224127?authuser=0&hl=id&entry=ttu
Reviews: 3 reviews",https://kensington-havelland.com/de/kontakt,+49 30 921014600,,KENSINGTON Immobilien Berlin City-West & Havelland (Pemilik),https://www.google.com/maps/contrib/117293762033702449948,https://lh3.ggpht.com/p/AF1QipMe2n0ce3zndtv7Sy0fFRQJlPE4ftvc839akslu=s1024,Agen real estat,Agen real estat,10.00-18.00,,"Sabtu, Minggu","Falkenseer Chaussee 161 Falkenhagener Strasse 25, 14612 Falkensee, Falkenseer Chaussee 161, 13589 Berlin, Jerman","profesional, nasihat, peduli, tim, keterampilan teknis, percakapan, kepuasan, keahlian, atmosphere, keramahan",https://www.google.com/maps/place/KENSINGTON+Immobilien+Berlin+City-West+%26+Havelland/data=!4m7!3m6!1s0x47a8f9b67f2da50f:0xd315adabcaf5c879!8m2!3d52.5534512!4d13.1515487!16s%2Fg%2F11ryrct1h5!19sChIJD6Utf7b5qEcRecj1yqutFdM?authuser=0&hl=id&rclk=1,immobilienmakler berlin spandau
